time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1733763417.36066508,0.00507453,2791,0.00032831,0.00000000,0,0.00000000,15665,15795,221,0.00027064
1733763417.36066508,0.00456613,2791,0.00022834,0.00000000,0,0.00000000,15795,15810,97,0.00004912
1733763417.43266654,0.00555967,3783,0.00060855,0.00000000,0,0.00000000,15810,16003,411,0.00015222
1733763417.43266654,0.00382864,3783,0.00036443,0.00000000,0,0.00000000,16003,16081,211,0.00015332
1733763417.50166821,0.00544209,2654,0.00072209,0.00000000,0,0.00000000,16081,16187,397,0.00014141
1733763417.50166821,0.00607738,2654,0.00053918,0.00000000,0,0.00000000,16187,16232,197,0.00016792
1733763417.57066965,0.00496702,2772,0.00015955,0.00000000,0,0.00000000,16232,16291,88,0.00022176
1733763417.57066965,0.00242219,2772,0.00011851,0.00000000,0,0.00000000,16291,16278,47,0.00016093
1733763417.64267111,0.00808020,3919,0.00091071,0.00000000,0,0.00000000,16278,16501,434,0.00016953
1733763417.64267111,0.00578211,3919,0.00034053,0.00000000,0,0.00000000,16238,16357,212,0.00026655
1733763417.71167254,0.00649621,2605,0.00094517,0.00000000,0,0.00000000,16357,16542,387,0.00018735
1733763417.71167254,0.00566416,2605,0.00039337,0.00000000,0,0.00000000,16542,16588,192,0.00010885
1733763417.78067398,0.00418655,2891,0.00040114,0.00000000,0,0.00000000,16588,16744,276,0.00028476
1733763417.78067398,0.00401972,2891,0.00030022,0.00000000,0,0.00000000,16744,16747,135,0.00025508
1733763417.85267568,0.00669642,3138,0.00079401,0.00000000,0,0.00000000,16747,16893,472,0.00016568
1733763417.85267568,0.00494742,3138,0.00048333,0.00000000,0,0.00000000,16893,16886,233,0.00011782
1733763417.91867709,0.00582291,2753,0.00058391,0.00000000,0,0.00000000,16886,17080,280,0.00010026
1733763417.91867709,0.00484246,2753,0.00043576,0.00000000,0,0.00000000,17080,17044,125,0.00007705
1733763417.99067855,0.00554973,2706,0.00078430,0.00000000,0,0.00000000,17044,17267,260,0.00010737
